wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.161109504835049438e+10
9.951457760902583161e+00,1.172695536140205765e+10
9.918341428919545066e+00,1.163309582628298378e+10
9.885335301036285216e+00,1.131718441172597504e+10
9.852439010517029416e+00,1.196285707840357971e+10
9.819652191846424572e+00,1.192330565501773834e+10
9.786974480725472603e+00,1.239455514297358131e+10
9.754405514067482130e+00,1.242658222423141289e+10
9.721944929994046802e+00,1.253818633759994698e+10
9.689592367831005859e+00,1.265235072098243332e+10
9.657347468104447330e+00,1.269708377203784370e+10
9.625209872536711231e+00,1.279218041448718071e+10
9.593179224042414077e+00,1.297173301317246819e+10
9.561255166724468069e+00,1.323196211974067307e+10
9.529437345870142906e+00,1.340019106377074623e+10
9.497725407947113396e+00,1.341840729099622154e+10
9.466119000599535482e+00,1.355230801224342728e+10
9.434617772644131151e+00,1.341757351372886467e+10
9.403221374066280447e+00,1.371659485245535660e+10
9.371929456016141913e+00,1.398952383594314003e+10
9.340741670804776575e+00,1.437683645506195068e+10
9.309657671900266607e+00,1.440300483165549469e+10
9.278677113923894382e+00,1.463061161156917191e+10
9.247799652646277124e+00,1.482316545083191490e+10
9.217024944983560175e+00,1.511621190865744400e+10
9.186352648993601377e+00,1.538779227036956596e+10
9.155782423872159015e+00,1.522319871174377441e+10
9.125313929949122382e+00,1.574379956684960938e+10
9.094946828684733475e+00,1.573286587451663589e+10
9.064680782665815784e+00,1.598179230824244690e+10
9.034515455602036837e+00,1.569428676188321686e+10
9.004450512322161870e+00,1.652623818209817886e+10
8.974485618770339457e+00,1.638615429540192795e+10
8.944620442002385374e+00,1.670291935865613747e+10
8.914854650182078899e+00,1.706191984413401604e+10
8.885187912577478642e+00,1.761594055301268387e+10
8.855619899557254371e+00,1.767708517678342438e+10
8.826150282587015283e+00,1.767283128918008423e+10
8.796778734225661367e+00,1.728825009428932190e+10
8.767504928121747199e+00,1.803206477669237518e+10
8.738328539009863505e+00,1.832552116720944977e+10
8.709249242707002736e+00,1.854005405696473312e+10
8.680266716108974379e+00,1.842351734788472748e+10
8.651380637186814937e+00,1.924144513875064850e+10
8.622590684983197917e+00,1.954427253364679337e+10
8.593896539608877561e+00,1.974322046227054977e+10
8.565297882239132576e+00,1.964098269761441040e+10
8.536794395110215206e+00,2.014899917095059204e+10
8.508385761515841139e+00,1.848568670589014053e+10
8.480071665803642134e+00,2.020097113809166336e+10
8.451851793371682575e+00,1.987704995140037155e+10
8.423725830664954728e+00,2.044807350373487473e+10
8.395693465171893521e+00,2.211645914923085403e+10
8.367754385420905550e+00,1.977872148870938873e+10
8.339908280976908728e+00,1.961255544419185638e+10
8.312154842437884383e+00,2.141758687006370544e+10
8.284493761431434677e+00,2.232807674017986679e+10
8.256924730611363117e+00,2.061262200091360474e+10
8.229447443654253291e+00,2.266854722376472092e+10
8.202061595256070703e+00,1.972435828067000961e+10
8.174766881128764595e+00,2.081525645686244202e+10
8.147562997996887546e+00,2.100112004955778503e+10
8.120449643594234601e+00,2.214566635086303329e+10
8.093426516660478853e+00,2.407122151988508606e+10
8.066493316937812352e+00,2.232489607038857269e+10
8.039649745167636752e+00,2.003500896782776260e+10
8.012895503087213100e+00,2.253100554459008789e+10
7.986230293426357818e+00,2.532899669830268478e+10
7.959653819904140448e+00,2.166720545763463593e+10
7.933165787225590293e+00,2.389242093565662003e+10
7.906765901078417258e+00,2.044988921607799530e+10
7.880453868129736250e+00,1.871963315576340866e+10
7.854229396022815557e+00,2.238171675550340652e+10
7.828092193373821672e+00,2.673067643139653015e+10
7.802041969768583662e+00,2.282501300861275482e+10
7.776078435759370855e+00,2.326236146993903351e+10
7.750201302861670527e+00,1.822202350506522369e+10
7.724410283550982470e+00,2.295587998713763809e+10
7.698705091259631317e+00,2.497626245231678772e+10
7.673085440373576205e+00,2.737791920464221573e+10
7.647551046229237315e+00,2.328409931122893906e+10
7.622101625110339285e+00,2.244157342158757401e+10
7.596736894244746630e+00,1.827882016818954086e+10
7.571456571801338242e+00,2.278950225509127426e+10
7.546260376886857912e+00,2.180118882972724915e+10
7.521148029542807478e+00,2.639764345867672729e+10
7.496119250742332873e+00,2.624731058914543152e+10
7.471173762387119055e+00,1.558526455187649155e+10
7.446311287304299142e+00,2.497204440770697403e+10
7.421531549243385761e+00,2.431211631880298996e+10
7.396834272873192617e+00,2.703878102812475586e+10
7.372219183778772056e+00,2.332588115209199142e+10
7.347686008458377493e+00,2.095627162171107101e+10
7.323234474320412524e+00,2.805212134788833618e+10
7.298864309680411111e+00,2.298986535370640182e+10
7.274575243758015120e+00,2.567218705364535141e+10
7.250367006673959835e+00,2.311433162557676697e+10
7.226239329447092352e+00,2.474891835255946350e+10
7.202191943991361534e+00,2.269999558246974945e+10
7.178224583112855051e+00,2.561422120977870178e+10
7.154336980506822208e+00,2.228906204652221298e+10
7.130528870754718973e+00,2.522812827665849686e+10
7.106799989321260114e+00,2.483837803118367767e+10
7.083150072551472221e+00,2.527569622654797745e+10
7.059578857667773377e+00,2.335242574052737427e+10
7.036086082767048389e+00,2.357000426977521133e+10
7.012671486817740885e+00,2.475924417420986176e+10
6.989334809656949865e+00,2.767864525749086761e+10
6.966075791987543120e+00,2.295711010090326691e+10
6.942894175375271537e+00,2.875277201760134125e+10
6.919789702245902951e+00,3.037546593358863449e+10
6.896762115882355992e+00,2.960401904872632217e+10
6.873811160421849031e+00,2.100709499196460342e+10
6.850936580853058011e+00,2.385066320802597809e+10
6.828138123013279603e+00,2.195305990509550858e+10
6.805415533585614796e+00,2.524796197377910614e+10
6.782768560096145372e+00,2.240894447885005951e+10
6.760196950911133484e+00,2.818621299849575806e+10
6.737700455234225672e+00,2.839234544415473175e+10
6.715278823103662198e+00,2.155860453812047958e+10
6.692931805389507716e+00,2.877543887679026413e+10
6.670659153790873042e+00,2.754513953549023056e+10
6.648460620833166246e+00,2.570582625061342239e+10
6.626335959865335745e+00,1.595204765296911621e+10
6.604284925057132050e+00,2.262075017762656403e+10
6.582307271396376613e+00,2.212233622284076691e+10
6.560402754686239568e+00,2.548336131492713928e+10
6.538571131542524562e+00,2.771722857051562500e+10
6.516812159390967807e+00,2.648019136144600677e+10
6.495125596464542461e+00,2.540075326486896896e+10
6.473511201800766557e+00,2.588105182618486023e+10
6.451968735239034025e+00,3.437357970019367981e+10
6.430497957417939503e+00,3.184845415288061905e+10
6.409098629772621791e+00,2.869978901852388763e+10
6.387770514532114419e+00,4.036703234950651550e+10
6.366513374716698870e+00,4.040098967879084778e+10
6.345326974135279130e+00,3.933472955387966919e+10
