wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.143736834330950356e+10
9.951457760902583161e+00,1.155247047939714050e+10
9.918341428919545066e+00,1.146894643933796883e+10
9.885335301036285216e+00,1.117597256775043869e+10
9.852439010517029416e+00,1.178604223816971016e+10
9.819652191846424572e+00,1.175481830383462334e+10
9.786974480725472603e+00,1.219992963710005951e+10
9.754405514067482130e+00,1.223469262306231117e+10
9.721944929994046802e+00,1.234268514443790436e+10
9.689592367831005859e+00,1.245624514095461845e+10
9.657347468104447330e+00,1.250421052420216560e+10
9.625209872536711231e+00,1.259686756434003258e+10
9.593179224042414077e+00,1.277463065496827888e+10
9.561255166724468069e+00,1.302324504590268517e+10
9.529437345870142906e+00,1.318779121356002045e+10
9.497725407947113396e+00,1.321438858701408958e+10
9.466119000599535482e+00,1.334604473677015686e+10
9.434617772644131151e+00,1.322644988853115654e+10
9.403221374066280447e+00,1.351479885751509857e+10
9.371929456016141913e+00,1.377409804324151039e+10
9.340741670804776575e+00,1.414642434874194145e+10
9.309657671900266607e+00,1.418016489780493927e+10
9.278677113923894382e+00,1.440554034827767372e+10
9.247799652646277124e+00,1.459503295070363998e+10
9.217024944983560175e+00,1.487979211848272896e+10
9.186352648993601377e+00,1.514510674662044525e+10
9.155782423872159015e+00,1.499919847173511887e+10
9.125313929949122382e+00,1.549978979237160683e+10
9.094946828684733475e+00,1.550038211525790977e+10
9.064680782665815784e+00,1.574641530300023460e+10
9.034515455602036837e+00,1.548151639467744446e+10
9.004450512322161870e+00,1.627932240477211189e+10
8.974485618770339457e+00,1.616008732671053314e+10
8.944620442002385374e+00,1.646735431248602104e+10
8.914854650182078899e+00,1.681704603111339378e+10
8.885187912577478642e+00,1.735071557054044342e+10
8.855619899557254371e+00,1.742566844934564590e+10
8.826150282587015283e+00,1.743458381803069687e+10
8.796778734225661367e+00,1.707879447653290367e+10
8.767504928121747199e+00,1.779533894786612701e+10
8.738328539009863505e+00,1.808777069859791946e+10
8.709249242707002736e+00,1.830397734028968430e+10
8.680266716108974379e+00,1.820493167906527328e+10
8.651380637186814937e+00,1.899361289911817169e+10
8.622590684983197917e+00,1.929696304806993103e+10
8.593896539608877561e+00,1.949546440505208206e+10
8.565297882239132576e+00,1.941248212619572830e+10
8.536794395110215206e+00,1.991137542711479568e+10
8.508385761515841139e+00,1.832141742830016708e+10
8.480071665803642134e+00,1.997616328117259979e+10
8.451851793371682575e+00,1.968061257007105637e+10
8.423725830664954728e+00,2.023158470829556274e+10
8.395693465171893521e+00,2.185800985895009613e+10
8.367754385420905550e+00,1.963011425211058044e+10
8.339908280976908728e+00,1.947045508053757095e+10
8.312154842437884383e+00,2.121893671992504501e+10
8.284493761431434677e+00,2.211785573474837494e+10
8.256924730611363117e+00,2.045532540623143387e+10
8.229447443654253291e+00,2.247211423826208115e+10
8.202061595256070703e+00,1.961500318755252838e+10
8.174766881128764595e+00,2.068232806820063782e+10
8.147562997996887546e+00,2.086771358477323151e+10
8.120449643594234601e+00,2.200413059210811615e+10
8.093426516660478853e+00,2.389536440025625992e+10
8.066493316937812352e+00,2.219576466257203293e+10
8.039649745167636752e+00,1.995148782494853592e+10
8.012895503087213100e+00,2.240377935197998428e+10
