wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.223662207251484108e+10
9.951457760902583161e+00,1.235338468782733154e+10
9.918341428919545066e+00,1.221770667300939178e+10
9.885335301036285216e+00,1.181203812941748047e+10
9.852439010517029416e+00,1.259635513818425751e+10
9.819652191846424572e+00,1.252151022768988609e+10
9.786974480725472603e+00,1.309670142727980042e+10
9.754405514067482130e+00,1.311664739299941444e+10
9.721944929994046802e+00,1.324196065996688080e+10
9.689592367831005859e+00,1.335673230718036461e+10
9.657347468104447330e+00,1.338668101085756874e+10
9.625209872536711231e+00,1.349153005928085709e+10
9.593179224042414077e+00,1.367538944715048409e+10
9.561255166724468069e+00,1.398178546649716377e+10
9.529437345870142906e+00,1.416343463819686699e+10
9.497725407947113396e+00,1.414519470187142563e+10
9.466119000599535482e+00,1.428737107218596840e+10
9.434617772644131151e+00,1.409283532614053917e+10
9.403221374066280447e+00,1.443185741258308601e+10
9.371929456016141913e+00,1.475862660304419136e+10
9.340741670804776575e+00,1.520358428066097260e+10
9.309657671900266607e+00,1.519870063205554008e+10
9.278677113923894382e+00,1.543230317382270432e+10
9.247799652646277124e+00,1.563609748746734619e+10
9.217024944983560175e+00,1.596108492455633736e+10
9.186352648993601377e+00,1.625551899197954559e+10
9.155782423872159015e+00,1.601709579378647995e+10
9.125313929949122382e+00,1.661436240443560219e+10
9.094946828684733475e+00,1.655707068431824493e+10
9.064680782665815784e+00,1.681533859361299133e+10
9.034515455602036837e+00,1.644129339959396744e+10
9.004450512322161870e+00,1.740279908207324600e+10
8.974485618770339457e+00,1.718008270794597244e+10
8.944620442002385374e+00,1.753280176347969055e+10
8.914854650182078899e+00,1.792745784571426773e+10
8.885187912577478642e+00,1.856028771327128220e+10
8.855619899557254371e+00,1.856363008510240936e+10
8.826150282587015283e+00,1.850780047901457214e+10
8.796778734225661367e+00,1.801374394063078690e+10
8.767504928121747199e+00,1.886184980783839035e+10
8.738328539009863505e+00,1.915680126617879486e+10
8.709249242707002736e+00,1.936419219154451752e+10
8.680266716108974379e+00,1.918072436222830963e+10
8.651380637186814937e+00,2.010927918272325516e+10
8.622590684983197917e+00,2.040719936022312927e+10
8.593896539608877561e+00,2.060909474651210403e+10
8.565297882239132576e+00,2.043218853954166794e+10
8.536794395110215206e+00,2.097251289037736511e+10
8.508385761515841139e+00,1.904002786488438797e+10
