wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.207137018358814430e+10
9.951457760902583161e+00,1.218818577255792809e+10
9.918341428919545066e+00,1.206426585772872162e+10
9.885335301036285216e+00,1.168337774177930832e+10
9.852439010517029416e+00,1.242947971779378891e+10
9.819652191846424572e+00,1.236479355047270584e+10
9.786974480725472603e+00,1.291098453765553284e+10
9.754405514067482130e+00,1.293446888568141937e+10
9.721944929994046802e+00,1.305604871466787338e+10
9.689592367831005859e+00,1.317090414769275665e+10
9.657347468104447330e+00,1.320525356926321793e+10
9.625209872536711231e+00,1.330737209054404831e+10
9.593179224042414077e+00,1.349043612979185104e+10
9.561255166724468069e+00,1.378395041660878944e+10
9.529437345870142906e+00,1.396202903717994881e+10
9.497725407947113396e+00,1.395441464661890793e+10
9.466119000599535482e+00,1.409436968320392418e+10
9.434617772644131151e+00,1.391642043788030243e+10
9.403221374066280447e+00,1.424464442116177940e+10
9.371929456016141913e+00,1.455645799332041550e+10
9.340741670804776575e+00,1.498561691845711136e+10
9.309657671900266607e+00,1.498952061897830582e+10
9.278677113923894382e+00,1.522187294691639709e+10
9.247799652646277124e+00,1.542266674242852783e+10
9.217024944983560175e+00,1.573888486106978798e+10
9.186352648993601377e+00,1.602725171488632774e+10
9.155782423872159015e+00,1.580933267534067154e+10
9.125313929949122382e+00,1.638564674688693428e+10
9.094946828684733475e+00,1.634134239927762604e+10
9.064680782665815784e+00,1.659731547088648224e+10
9.034515455602036837e+00,1.624688734301190186e+10
9.004450512322161870e+00,1.717319533712477303e+10
8.974485618770339457e+00,1.697345451223418427e+10
8.944620442002385374e+00,1.731641884134218216e+10
8.914854650182078899e+00,1.770133100379218292e+10
8.885187912577478642e+00,1.831249336515948105e+10
8.855619899557254371e+00,1.833236593123511505e+10
8.826150282587015283e+00,1.829077772122253036e+10
8.796778734225661367e+00,1.782648838528420639e+10
8.767504928121747199e+00,1.864612574892086792e+10
8.738328539009863505e+00,1.894104085093605042e+10
8.709249242707002736e+00,1.915047658892436600e+10
8.680266716108974379e+00,1.898527979297805786e+10
8.651380637186814937e+00,1.988382788444353104e+10
8.622590684983197917e+00,2.018351655220637131e+10
8.593896539608877561e+00,2.038441331560699081e+10
8.565297882239132576e+00,2.022802604227190399e+10
8.536794395110215206e+00,2.075991785745145035e+10
8.508385761515841139e+00,1.889916459020402527e+10
8.480071665803642134e+00,2.077858550892301941e+10
8.451851793371682575e+00,2.037671235698384857e+10
8.423725830664954728e+00,2.100406713040033340e+10
8.395693465171893521e+00,2.278273295412322617e+10
8.367754385420905550e+00,2.014882093535923004e+10
8.339908280976908728e+00,1.996636181809197617e+10
8.312154842437884383e+00,2.192277205500726700e+10
8.284493761431434677e+00,2.286263674318640137e+10
8.256924730611363117e+00,2.100871267348545074e+10
8.229447443654253291e+00,2.316462707313703537e+10
8.202061595256070703e+00,1.999398803289160156e+10
8.174766881128764595e+00,2.114609204946165848e+10
8.147562997996887546e+00,2.133474991739962769e+10
8.120449643594234601e+00,2.249857891759942245e+10
8.093426516660478853e+00,2.451274503759492111e+10
8.066493316937812352e+00,2.264576617701539612e+10
8.039649745167636752e+00,2.024082504790442276e+10
8.012895503087213100e+00,2.284768961698102188e+10
7.986230293426357818e+00,2.577009827633702469e+10
7.959653819904140448e+00,2.192339634776568222e+10
7.933165787225590293e+00,2.425498569136047745e+10
7.906765901078417258e+00,2.064785550937441635e+10
7.880453868129736250e+00,1.883723219328503036e+10
7.854229396022815557e+00,2.268413414813987350e+10
7.828092193373821672e+00,2.719042175405903244e+10
7.802041969768583662e+00,2.308842526056075287e+10
7.776078435759370855e+00,2.351858718847028351e+10
7.750201302861670527e+00,1.832628430029144669e+10
7.724410283550982470e+00,2.318945244266620255e+10
7.698705091259631317e+00,2.530422781750200272e+10
7.673085440373576205e+00,2.779901806879081726e+10
7.647551046229237315e+00,2.355048631050028992e+10
7.622101625110339285e+00,2.266361623615557098e+10
7.596736894244746630e+00,1.836469721805718613e+10
7.571456571801338242e+00,2.302319462557685852e+10
7.546260376886857912e+00,2.196155659659560394e+10
7.521148029542807478e+00,2.677475873382621765e+10
7.496119250742332873e+00,2.656097697612748718e+10
7.471173762387119055e+00,1.562606348571593094e+10
7.446311287304299142e+00,2.524723940157497025e+10
7.421531549243385761e+00,2.454938676447097015e+10
7.396834272873192617e+00,2.738601137306269836e+10
7.372219183778772056e+00,2.352000019106523132e+10
7.347686008458377493e+00,2.110546993615219498e+10
7.323234474320412524e+00,2.849077982160223007e+10
7.298864309680411111e+00,2.319263837637598801e+10
7.274575243758015120e+00,2.596371649460376358e+10
7.250367006673959835e+00,2.329641429422487259e+10
7.226239329447092352e+00,2.497578338506918335e+10
7.202191943991361534e+00,2.288316868494817734e+10
7.178224583112855051e+00,2.592375338051186371e+10
7.154336980506822208e+00,2.245222149585017395e+10
7.130528870754718973e+00,2.546158758423758316e+10
7.106799989321260114e+00,2.506091230387757492e+10
7.083150072551472221e+00,2.550713228442869949e+10
7.059578857667773377e+00,2.352623984222193909e+10
7.036086082767048389e+00,2.376267166589311600e+10
7.012671486817740885e+00,2.498400549560875320e+10
6.989334809656949865e+00,2.798746472543500519e+10
6.966075791987543120e+00,2.314589127290926361e+10
6.942894175375271537e+00,2.909603678206061935e+10
6.919789702245902951e+00,3.080560834435813141e+10
6.896762115882355992e+00,3.004153861712578964e+10
6.873811160421849031e+00,2.112020171053673172e+10
6.850936580853058011e+00,2.401534432336518097e+10
6.828138123013279603e+00,2.207087038912250137e+10
6.805415533585614796e+00,2.543829421535480118e+10
6.782768560096145372e+00,2.254931324794747925e+10
6.760196950911133484e+00,2.850647834822497559e+10
6.737700455234225672e+00,2.867305802673162079e+10
6.715278823103662198e+00,2.166179982991917801e+10
6.692931805389507716e+00,2.913567498432438660e+10
6.670659153790873042e+00,2.779090708289333344e+10
6.648460620833166246e+00,2.595724000941142273e+10
6.626335959865335745e+00,1.599057155246951103e+10
6.604284925057132050e+00,2.278747828308523560e+10
6.582307271396376613e+00,2.225022872254511642e+10
6.560402754686239568e+00,2.565542719851908112e+10
6.538571131542524562e+00,2.801340746121634674e+10
6.516812159390967807e+00,2.668160466241120148e+10
6.495125596464542461e+00,2.559127779941946411e+10
6.473511201800766557e+00,2.614558907998489761e+10
6.451968735239034025e+00,3.493149732754031372e+10
6.430497957417939503e+00,3.229820106191029739e+10
6.409098629772621791e+00,2.912055134020082855e+10
6.387770514532114419e+00,4.138235808008910370e+10
6.366513374716698870e+00,4.156231908661744690e+10
6.345326974135279130e+00,4.026205177291526031e+10
6.324211077382749124e+00,4.714786052111286926e+10
6.303165449837382361e+00,4.996104527119629669e+10
6.282189857658223353e+00,4.592792040218687439e+10
6.261284067782488805e+00,4.727297181057331848e+10
6.240447847922979463e+00,4.486507361117622375e+10
6.219680966565498181e+00,4.562109326779573059e+10
6.198983192966278644e+00,4.675810672925202942e+10
6.178354297149420304e+00,3.982758739175023651e+10
6.157794049904330436e+00,4.056795323994071198e+10
6.137302222783184824e+00,5.010392089983519745e+10
6.116878588098381364e+00,4.249176721737080383e+10
6.096522918920017631e+00,4.447019350454484558e+10
6.076234989073363124e+00,3.943012618965716553e+10
6.056014573136346613e+00,3.507020314019589233e+10
6.035861446437058575e+00,3.863794785696077728e+10
6.015775385051244761e+00,4.349072359987622070e+10
5.995756165799826398e+00,4.396857575978170013e+10
5.975803566246416842e+00,3.968000119049217987e+10
5.955917364694847116e+00,4.040027651415962219e+10
5.936097340186711868e+00,3.540025025733863068e+10
5.916343272498902905e+00,4.316131995358132935e+10
5.896654942141168476e+00,3.739599758177717590e+10
5.877032130353677886e+00,3.228049618872211075e+10
5.857474619104580782e+00,4.249281277964746094e+10
5.837982191087593975e+00,3.613916847226905060e+10
5.818554629719582039e+00,3.896775718986930084e+10
5.799191719138153012e+00,4.614251854611856079e+10
5.779893244199256763e+00,4.008461154565629578e+10
5.760658990474800234e+00,3.889025129487642670e+10
5.741488744250259124e+00,4.063377300019215393e+10
5.722382292522305569e+00,3.660692299032741547e+10
5.703339422996441144e+00,4.326173844728939056e+10
5.684359924084638749e+00,4.011026908284682465e+10
5.665443584902993379e+00,4.734416546357150269e+10
5.646590195269372003e+00,3.885958132674448395e+10
5.627799545701089201e+00,4.804799026861154938e+10
5.609071427412565924e+00,4.370731187150227356e+10
5.590405632313023787e+00,5.031277279280554962e+10
5.571801953004162478e+00,4.175454915580477142e+10
5.553260182777858489e+00,4.084690736075219727e+10
5.534780115613871843e+00,5.224297350371298981e+10
5.516361546177553699e+00,4.617717257825630188e+10
5.498004269817561074e+00,5.598894327503616333e+10
5.479708082563592875e+00,5.253640086169219971e+10
5.461472781124113496e+00,4.550836219299691772e+10
5.443298162884099511e+00,5.751944900818170166e+10
5.425184025902788143e+00,4.086683945859218597e+10
5.407130168911431056e+00,5.083053152874937439e+10
5.389136391311060592e+00,6.296910211031063843e+10
5.371202493170259551e+00,5.100721128738249969e+10
5.353328275222937194e+00,5.023792269623616028e+10
5.335513538866122119e+00,6.917010811904577637e+10
5.317758086157748920e+00,6.422412642057930756e+10
5.300061719814461725e+00,5.942229144395522308e+10
5.282424243209423054e+00,5.637035006471792603e+10
5.264845460370123575e+00,6.453256039089951324e+10
5.247325175976212286e+00,6.586211248225955963e+10
5.229863195357323136e+00,6.679274337428853607e+10
5.212459324490909651e+00,5.748967707992951202e+10
5.195113370000091990e+00,6.437644547976355743e+10
5.177825139151505773e+00,7.066250516020945740e+10
5.160594439853165127e+00,6.948195771449746704e+10
5.143421080652322175e+00,5.922788312058425140e+10
5.126304870733346064e+00,7.274713777814825439e+10
