wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.178262090709136772e+10
9.951457760902583161e+00,1.189902061868080902e+10
9.918341428919545066e+00,1.179441670998230553e+10
9.885335301036285216e+00,1.145499765343520737e+10
9.852439010517029416e+00,1.213706070814367485e+10
9.819652191846424572e+00,1.208867350487685585e+10
9.786974480725472603e+00,1.258686858837658501e+10
9.754405514067482130e+00,1.261593440087866020e+10
9.721944929994046802e+00,1.273118529381227112e+10
9.689592367831005859e+00,1.284576360978723335e+10
9.657347468104447330e+00,1.288694164533989334e+10
9.625209872536711231e+00,1.298455776900896263e+10
9.593179224042414077e+00,1.316563373241812706e+10
9.561255166724468069e+00,1.343783186537413979e+10
9.529437345870142906e+00,1.360971537619442368e+10
9.497725407947113396e+00,1.361893462362775803e+10
9.466119000599535482e+00,1.375507130513774490e+10
9.434617772644131151e+00,1.360475374964421082e+10
9.403221374066280447e+00,1.391450337215505791e+10
9.371929456016141913e+00,1.420144951497880554e+10
9.340741670804776575e+00,1.460398966979781914e+10
9.309657671900266607e+00,1.462223778238251305e+10
9.278677113923894382e+00,1.485181926500681114e+10
9.247799652646277124e+00,1.504742263017058754e+10
9.217024944983560175e+00,1.534889411875337982e+10
9.186352648993601377e+00,1.562670363842190933e+10
9.155782423872159015e+00,1.544288774638985443e+10
9.125313929949122382e+00,1.598379366104025841e+10
9.094946828684733475e+00,1.596090586922546196e+10
9.064680782665815784e+00,1.621256668994697571e+10
9.034515455602036837e+00,1.590211708769664001e+10
9.004450512322161870e+00,1.676858257483289528e+10
8.974485618770339457e+00,1.660701566501686287e+10
8.944620442002385374e+00,1.693337245045522881e+10
8.914854650182078899e+00,1.730181744773331070e+10
8.885187912577478642e+00,1.787658344878603363e+10
8.855619899557254371e+00,1.792315428439231873e+10
8.826150282587015283e+00,1.790539660292476654e+10
8.796778734225661367e+00,1.749168015355709457e+10
8.767504928121747199e+00,1.826314851206007385e+10
8.738328539009863505e+00,1.855737040048233032e+10
8.709249242707002736e+00,1.877011262135406113e+10
8.680266716108974379e+00,1.863583160463679504e+10
8.651380637186814937e+00,1.948328135781209183e+10
8.622590684983197917e+00,1.978524129820264435e+10
8.593896539608877561e+00,1.998477972229718399e+10
8.565297882239132576e+00,1.986288821308459473e+10
8.536794395110215206e+00,2.037985965036156082e+10
8.508385761515841139e+00,1.864344196256517029e+10
8.480071665803642134e+00,2.041929664738994980e+10
8.451851793371682575e+00,2.006678194583002853e+10
8.423725830664954728e+00,2.065826545756897354e+10
8.395693465171893521e+00,2.236792545924068832e+10
8.367754385420905550e+00,1.992061385373451233e+10
8.339908280976908728e+00,1.974821439992155457e+10
8.312154842437884383e+00,2.160943944150928116e+10
8.284493761431434677e+00,2.253109537167792892e+10
8.256924730611363117e+00,2.076371610717461395e+10
8.229447443654253291e+00,2.285755368909584427e+10
8.202061595256070703e+00,1.982819156150245667e+10
8.174766881128764595e+00,2.094212957072681046e+10
8.147562997996887546e+00,2.112878467943408585e+10
8.120449643594234601e+00,2.228089685309226227e+10
8.093426516660478853e+00,2.423988765133459473e+10
8.066493316937812352e+00,2.244803909624310684e+10
8.039649745167636752e+00,2.011428202126176453e+10
8.012895503087213100e+00,2.265244931489577103e+10
7.986230293426357818e+00,2.549764363462812805e+10
7.959653819904140448e+00,2.176560712795065689e+10
7.933165787225590293e+00,2.403112562328614807e+10
7.906765901078417258e+00,2.052606273155577087e+10
7.880453868129736250e+00,1.876515991271594238e+10
7.854229396022815557e+00,2.249719869322004318e+10
7.828092193373821672e+00,2.690627921331288147e+10
7.802041969768583662e+00,2.292614836544272614e+10
7.776078435759370855e+00,2.336092457014714813e+10
7.750201302861670527e+00,1.826237989486166763e+10
7.724410283550982470e+00,2.304585384680283356e+10
7.698705091259631317e+00,2.510206557725233459e+10
7.673085440373576205e+00,2.753918583242431259e+10
7.647551046229237315e+00,2.338637036129930115e+10
7.622101625110339285e+00,2.252699741346175766e+10
7.596736894244746630e+00,1.831211546460395813e+10
7.571456571801338242e+00,2.287934224922384644e+10
7.546260376886857912e+00,2.186319409795355606e+10
7.521148029542807478e+00,2.654196737896177673e+10
7.496119250742332873e+00,2.636793059598390198e+10
7.471173762387119055e+00,1.560113796834987068e+10
7.446311287304299142e+00,2.507786524072023010e+10
7.421531549243385761e+00,2.440355456060798264e+10
7.396834272873192617e+00,2.717220259982789230e+10
7.372219183778772056e+00,2.340081854661376953e+10
7.347686008458377493e+00,2.101393426585577011e+10
7.323234474320412524e+00,2.821990865936885834e+10
7.298864309680411111e+00,2.306801015932569504e+10
7.274575243758015120e+00,2.578424531062394714e+10
7.250367006673959835e+00,2.318468212150169373e+10
7.226239329447092352e+00,2.483639375441523361e+10
7.202191943991361534e+00,2.277067546420481110e+10
7.178224583112855051e+00,2.573291042935602951e+10
7.154336980506822208e+00,2.235213390175661469e+10
7.130528870754718973e+00,2.531823711150450516e+10
7.106799989321260114e+00,2.492429840808107376e+10
7.083150072551472221e+00,2.536508900643176651e+10
7.059578857667773377e+00,2.341963283426563644e+10
7.036086082767048389e+00,2.364445240796892929e+10
7.012671486817740885e+00,2.484604674503051758e+10
6.989334809656949865e+00,2.779758471641559601e+10
6.966075791987543120e+00,2.302998585875881195e+10
6.942894175375271537e+00,2.888494990672515106e+10
6.919789702245902951e+00,3.054072742091448212e+10
6.896762115882355992e+00,2.977170086724408340e+10
6.873811160421849031e+00,2.105099956318702316e+10
6.850936580853058011e+00,2.391448354355838013e+10
6.828138123013279603e+00,2.199881294153406143e+10
6.805415533585614796e+00,2.532168419719131851e+10
6.782768560096145372e+00,2.246335387346455002e+10
6.760196950911133484e+00,2.830946439503650284e+10
6.737700455234225672e+00,2.850081846191226578e+10
6.715278823103662198e+00,2.159876912664047241e+10
6.692931805389507716e+00,2.891406450038413239e+10
6.670659153790873042e+00,2.764026561677824783e+10
6.648460620833166246e+00,2.580278299085142136e+10
6.626335959865335745e+00,1.596711997210158920e+10
6.604284925057132050e+00,2.268526390478364563e+10
6.582307271396376613e+00,2.217199742949188995e+10
6.560402754686239568e+00,2.555019550734487152e+10
6.538571131542524562e+00,2.783141131377901840e+10
6.516812159390967807e+00,2.655828873158940506e+10
6.495125596464542461e+00,2.547461359725501633e+10
6.473511201800766557e+00,2.598269540268580246e+10
6.451968735239034025e+00,3.458754745971009827e+10
6.430497957417939503e+00,3.202115697432593155e+10
6.409098629772621791e+00,2.886026274592464447e+10
6.387770514532114419e+00,4.075214025673024750e+10
6.366513374716698870e+00,4.083864813610884094e+10
6.345326974135279130e+00,3.968676005306285858e+10
6.324211077382749124e+00,4.612761399524871826e+10
6.303165449837382361e+00,4.879728947146125793e+10
6.282189857658223353e+00,4.505397240603414154e+10
6.261284067782488805e+00,4.636413951168508148e+10
6.240447847922979463e+00,4.402733621710908508e+10
6.219680966565498181e+00,4.478234970193494415e+10
6.198983192966278644e+00,4.593719372683317566e+10
6.178354297149420304e+00,3.930844979112722778e+10
6.157794049904330436e+00,4.007738890659150696e+10
6.137302222783184824e+00,4.897349559985837555e+10
6.116878588098381364e+00,4.179858676348234558e+10
6.096522918920017631e+00,4.376718272701580048e+10
6.076234989073363124e+00,3.890137956257639313e+10
6.056014573136346613e+00,3.473980186610585022e+10
6.035861446437058575e+00,3.819797352196502686e+10
6.015775385051244761e+00,4.290484066074661255e+10
5.995756165799826398e+00,4.325918503660649109e+10
5.975803566246416842e+00,3.919447327891156769e+10
5.955917364694847116e+00,3.990853428054058838e+10
5.936097340186711868e+00,3.507712996862949371e+10
5.916343272498902905e+00,4.260422725666082764e+10
