wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.192784499029841423e+10
9.951457760902583161e+00,1.204453287233440208e+10
9.918341428919545066e+00,1.193040821571155357e+10
9.885335301036285216e+00,1.157042693044147873e+10
9.852439010517029416e+00,1.228426234752435303e+10
9.819652191846424572e+00,1.222790486310210228e+10
9.786974480725472603e+00,1.274981955541054535e+10
9.754405514067482130e+00,1.277617278023130035e+10
9.721944929994046802e+00,1.289457636880345917e+10
9.689592367831005859e+00,1.300936063861563683e+10
9.657347468104447330e+00,1.304723889399704170e+10
9.625209872536711231e+00,1.314707759015825272e+10
9.593179224042414077e+00,1.332924621039729309e+10
9.561255166724468069e+00,1.361197876920626640e+10
9.529437345870142906e+00,1.378697120565321541e+10
9.497725407947113396e+00,1.378799422484727859e+10
9.466119000599535482e+00,1.392604203821951103e+10
9.434617772644131151e+00,1.376204447535023880e+10
9.403221374066280447e+00,1.408102186303458023e+10
9.371929456016141913e+00,1.438027460403561211e+10
9.340741670804776575e+00,1.479604676084306717e+10
9.309657671900266607e+00,1.480724013390474319e+10
9.278677113923894382e+00,1.503830521631125259e+10
9.247799652646277124e+00,1.523651045426199150e+10
9.217024944983560175e+00,1.554530865062245178e+10
9.186352648993601377e+00,1.582841878963998032e+10
9.155782423872159015e+00,1.562772493322169685e+10
9.125313929949122382e+00,1.618624728288789558e+10
9.094946828684733475e+00,1.615279116876544189e+10
9.064680782665815784e+00,1.640666768450750732e+10
9.034515455602036837e+00,1.607631984008029747e+10
9.004450512322161870e+00,1.697261418596933174e+10
8.974485618770339457e+00,1.679216239376719284e+10
8.944620442002385374e+00,1.712680100222377777e+10
8.914854650182078899e+00,1.750343904705998611e+10
8.885187912577478642e+00,1.809627839354139328e+10
8.855619899557254371e+00,1.812976513053797531e+10
8.826150282587015283e+00,1.810019201129870224e+10
8.796778734225661367e+00,1.766127454833363342e+10
8.767504928121747199e+00,1.845671717613566589e+10
8.738328539009863505e+00,1.875138448436990356e+10
8.709249242707002736e+00,1.896250792774664688e+10
8.680266716108974379e+00,1.881284025385424042e+10
8.651380637186814937e+00,1.968577370672822189e+10
8.622590684983197917e+00,1.998672013062029648e+10
8.593896539608877561e+00,2.018688236832526016e+10
8.565297882239132576e+00,2.004786008588349533e+10
8.536794395110215206e+00,2.057236259507702255e+10
8.508385761515841139e+00,1.877359030762789917e+10
8.480071665803642134e+00,2.060129654166173935e+10
8.451851793371682575e+00,2.022414262713153458e+10
8.423725830664954728e+00,2.083344802868440247e+10
8.395693465171893521e+00,2.257789818873934174e+10
8.367754385420905550e+00,2.003704388935928345e+10
8.339908280976908728e+00,1.985951663595899582e+10
8.312154842437884383e+00,2.176853917397074127e+10
8.284493761431434677e+00,2.269944571550307465e+10
8.256924730611363117e+00,2.088839431013411331e+10
8.229447443654253291e+00,2.301373452197108078e+10
8.202061595256070703e+00,1.991296538037595749e+10
8.174766881128764595e+00,2.104620263288815689e+10
8.147562997996887546e+00,2.123376362666257477e+10
8.120449643594234601e+00,2.239192711206584167e+10
8.093426516660478853e+00,2.437884912523574829e+10
8.066493316937812352e+00,2.254896874878890610e+10
8.039649745167636752e+00,2.017898836912079239e+10
8.012895503087213100e+00,2.275207226672222137e+10
7.986230293426357818e+00,2.563646102121395493e+10
7.959653819904140448e+00,2.184618186019253540e+10
7.933165787225590293e+00,2.414521658986220551e+10
7.906765901078417258e+00,2.058830940048799133e+10
7.880453868129736250e+00,1.880210373342639542e+10
7.854229396022815557e+00,2.259238158294937134e+10
7.828092193373821672e+00,2.705098145821597672e+10
7.802041969768583662e+00,2.300899883844270325e+10
7.776078435759370855e+00,2.344149460174757004e+10
7.750201302861670527e+00,1.829513402203452301e+10
7.724410283550982470e+00,2.311928666425257492e+10
7.698705091259631317e+00,2.520523375917159271e+10
7.673085440373576205e+00,2.767168063993818665e+10
7.647551046229237315e+00,2.347015725060646439e+10
7.622101625110339285e+00,2.259681663427575684e+10
7.596736894244746630e+00,1.833908717485282898e+10
7.571456571801338242e+00,2.295283189976809692e+10
7.546260376886857912e+00,2.191358324775952530e+10
7.521148029542807478e+00,2.666063043530393219e+10
7.496119250742332873e+00,2.646656707170694733e+10
7.471173762387119055e+00,1.561394524690722466e+10
7.446311287304299142e+00,2.516440383653014755e+10
7.421531549243385761e+00,2.447814425692681503e+10
7.396834272873192617e+00,2.728140584048727036e+10
7.372219183778772056e+00,2.346182752925246048e+10
7.347686008458377493e+00,2.106081742281110764e+10
7.323234474320412524e+00,2.835794716329445648e+10
7.298864309680411111e+00,2.313175322713454437e+10
7.274575243758015120e+00,2.587592465660854340e+10
7.250367006673959835e+00,2.324190108712939453e+10
7.226239329447092352e+00,2.490770635090187836e+10
7.202191943991361534e+00,2.282824799830064392e+10
7.178224583112855051e+00,2.583028121987895966e+10
7.154336980506822208e+00,2.240340205562433624e+10
7.130528870754718973e+00,2.539161247573802567e+10
7.106799989321260114e+00,2.499423692346535110e+10
