wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.195188481201556587e+10
9.951457760902583161e+00,1.206860510897140121e+10
9.918341428919545066e+00,1.195286663825945091e+10
9.885335301036285216e+00,1.158942387470727730e+10
9.852439010517029416e+00,1.230860381166655540e+10
9.819652191846424572e+00,1.225088289012374306e+10
9.786974480725472603e+00,1.277680547560817146e+10
9.754405514067482130e+00,1.280269128598575401e+10
9.721944929994046802e+00,1.292162264831227493e+10
9.689592367831005859e+00,1.303642806913401604e+10
9.657347468104447330e+00,1.307373398108685493e+10
9.625209872536711231e+00,1.317394870248288155e+10
9.593179224042414077e+00,1.335628026276807213e+10
9.561255166724468069e+00,1.364079278564635468e+10
9.529437345870142906e+00,1.381630119150911903e+10
9.497725407947113396e+00,1.381591510981048584e+10
9.466119000599535482e+00,1.395428103828638268e+10
9.434617772644131151e+00,1.378797637836716270e+10
9.403221374066280447e+00,1.410849383197551537e+10
9.371929456016141913e+00,1.440982278837086868e+10
9.340741670804776575e+00,1.482781561797970009e+10
9.309657671900266607e+00,1.483781008073631859e+10
9.278677113923894382e+00,1.506910341768623734e+10
9.247799652646277124e+00,1.526774106240020561e+10
9.217024944983560175e+00,1.557776954046497536e+10
9.186352648993601377e+00,1.586175905620549583e+10
9.155782423872159015e+00,1.565821783327409363e+10
9.125313929949122382e+00,1.621969382383057785e+10
9.094946828684733475e+00,1.618444865674243927e+10
9.064680782665815784e+00,1.643868288868852806e+10
9.034515455602036837e+00,1.610500015735690498e+10
9.004450512322161870e+00,1.700628500300660896e+10
8.974485618770339457e+00,1.682264565066329765e+10
8.944620442002385374e+00,1.715866912421597481e+10
8.914854650182078899e+00,1.753668079427306366e+10
8.885187912577478642e+00,1.813255714130475235e+10
8.855619899557254371e+00,1.816381121372086716e+10
8.826150282587015283e+00,1.813224886266125107e+10
8.796778734225661367e+00,1.768911361637071228e+10
8.767504928121747199e+00,1.848857414884713364e+10
8.738328539009863505e+00,1.878329655157674789e+10
8.709249242707002736e+00,1.899414326867408752e+10
8.680266716108974379e+00,1.884189676729869461e+10
8.651380637186814937e+00,1.971909110114911270e+10
8.622590684983197917e+00,2.001984471577184296e+10
8.593896539608877561e+00,2.022012164785918427e+10
8.565297882239132576e+00,2.007822072893012238e+10
8.536794395110215206e+00,2.060396482956606293e+10
8.508385761515841139e+00,1.879483419868641663e+10
8.480071665803642134e+00,2.063117094585452271e+10
8.451851793371682575e+00,2.024990169410527420e+10
