wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.214248459358563042e+10
9.951457760902583161e+00,1.225930404261668968e+10
9.918341428919545066e+00,1.213038744484592819e+10
9.885335301036285216e+00,1.173892755835345650e+10
9.852439010517029416e+00,1.250133554327338791e+10
9.819652191846424572e+00,1.243235317982627106e+10
9.786974480725472603e+00,1.299088511272710037e+10
9.754405514067482130e+00,1.301287784944514465e+10
9.721944929994046802e+00,1.313605418572925758e+10
9.689592367831005859e+00,1.325089547701272011e+10
9.657347468104447330e+00,1.328339591791467476e+10
9.625209872536711231e+00,1.338667545217740631e+10
9.593179224042414077e+00,1.357011320857395554e+10
9.561255166724468069e+00,1.386910890233533669e+10
9.529437345870142906e+00,1.404872179060907173e+10
9.497725407947113396e+00,1.403662532303818893e+10
9.466119000599535482e+00,1.417753278811186028e+10
9.434617772644131151e+00,1.399251374253364944e+10
9.403221374066280447e+00,1.432536493671189690e+10
9.371929456016141913e+00,1.464354959959424019e+10
9.340741670804776575e+00,1.507945650951429176e+10
9.309657671900266607e+00,1.507963057118004799e+10
9.278677113923894382e+00,1.531255205801134109e+10
9.247799652646277124e+00,1.551463451440245056e+10
9.217024944983560175e+00,1.583459636557532692e+10
9.186352648993601377e+00,1.612557272870059776e+10
9.155782423872159015e+00,1.589891806255066872e+10
9.125313929949122382e+00,1.648418763231058121e+10
9.094946828684733475e+00,1.643435948786633492e+10
9.064680782665815784e+00,1.669133600768792915e+10
9.034515455602036837e+00,1.633080886827006912e+10
9.004450512322161870e+00,1.727218081151651001e+10
8.974485618770339457e+00,1.706265306211634827e+10
8.944620442002385374e+00,1.740979338319449615e+10
8.914854650182078899e+00,1.779887027043525696e+10
8.885187912577478642e+00,1.841928193891296768e+10
8.855619899557254371e+00,1.843215395414704514e+10
8.826150282587015283e+00,1.838449002385250092e+10
8.796778734225661367e+00,1.790746224822902679e+10
8.767504928121747199e+00,1.873927089734938049e+10
8.738328539009863505e+00,1.903423505905983734e+10
8.709249242707002736e+00,1.924280372990645599e+10
8.680266716108974379e+00,1.906979513426462173e+10
8.651380637186814937e+00,1.998118964944658279e+10
8.622590684983197917e+00,2.028015958245719147e+10
8.593896539608877561e+00,2.048146556895021057e+10
8.565297882239132576e+00,2.031631646201153183e+10
8.536794395110215206e+00,2.085184757635551071e+10
8.508385761515841139e+00,1.896026928374281693e+10
8.480071665803642134e+00,2.086547466994328690e+10
8.451851793371682575e+00,2.045122359866080093e+10
8.423725830664954728e+00,2.108767794887442017e+10
8.395693465171893521e+00,2.288322788003554153e+10
8.367754385420905550e+00,2.020300710143266296e+10
8.339908280976908728e+00,2.001815462336487198e+10
8.312154842437884383e+00,2.199808567606269836e+10
8.284493761431434677e+00,2.294232104703376770e+10
8.256924730611363117e+00,2.106726787087035751e+10
8.229447443654253291e+00,2.323811925296117783e+10
8.202061595256070703e+00,2.003313723080440140e+10
8.174766881128764595e+00,2.119450804672610474e+10
8.147562997996887546e+00,2.138378048471807861e+10
8.120449643594234601e+00,2.255030218637462997e+10
8.093426516660478853e+00,2.457782935261643600e+10
8.066493316937812352e+00,2.269265620439759827e+10
8.039649745167636752e+00,2.027070364376744080e+10
8.012895503087213100e+00,2.289403381222671890e+10
7.986230293426357818e+00,2.583501165740309525e+10
7.959653819904140448e+00,2.196077958995751953e+10
7.933165787225590293e+00,2.430828370841290665e+10
7.906765901078417258e+00,2.067664868316665649e+10
7.880453868129736250e+00,1.885414560151166916e+10
7.854229396022815557e+00,2.272874919203004074e+10
7.828092193373821672e+00,2.725820342736031342e+10
7.802041969768583662e+00,2.312689036122162247e+10
7.776078435759370855e+00,2.355586987646528625e+10
7.750201302861670527e+00,1.834128450637962341e+10
7.724410283550982470e+00,2.322335113661272049e+10
7.698705091259631317e+00,2.535219987365684891e+10
7.673085440373576205e+00,2.786079578376535797e+10
7.647551046229237315e+00,2.358939026769630814e+10
7.622101625110339285e+00,2.269591973069734955e+10
7.596736894244746630e+00,1.837701588551637650e+10
7.571456571801338242e+00,2.305723919761894989e+10
7.546260376886857912e+00,2.198467521404099655e+10
7.521148029542807478e+00,2.683016038571325684e+10
7.496119250742332873e+00,2.660664536906868744e+10
7.471173762387119055e+00,1.563187776886703300e+10
7.446311287304299142e+00,2.528731126527981949e+10
7.421531549243385761e+00,2.458379665694861984e+10
7.396834272873192617e+00,2.743663987785527420e+10
7.372219183778772056e+00,2.354806365186620712e+10
7.347686008458377493e+00,2.112699347864792633e+10
7.323234474320412524e+00,2.855528516208444977e+10
7.298864309680411111e+00,2.322204792366106796e+10
7.274575243758015120e+00,2.600619891578830719e+10
7.250367006673959835e+00,2.332269672748241806e+10
7.226239329447092352e+00,2.500865248321818542e+10
7.202191943991361534e+00,2.290967182661167145e+10
7.178224583112855051e+00,2.596906693891414642e+10
7.154336980506822208e+00,2.247575065021687317e+10
7.130528870754718973e+00,2.549534811046160507e+10
7.106799989321260114e+00,2.509307304014140320e+10
7.083150072551472221e+00,2.554055401327216339e+10
7.059578857667773377e+00,2.355129291449506378e+10
7.036086082767048389e+00,2.379047443529763031e+10
7.012671486817740885e+00,2.501647147041832352e+10
6.989334809656949865e+00,2.803230207710234833e+10
6.966075791987543120e+00,2.317318298308301926e+10
6.942894175375271537e+00,2.914589166197827530e+10
6.919789702245902951e+00,3.086833955476698685e+10
6.896762115882355992e+00,3.010564187219346237e+10
6.873811160421849031e+00,2.113638614593765640e+10
6.850936580853058011e+00,2.403897936549694824e+10
6.828138123013279603e+00,2.208771156593393707e+10
6.805415533585614796e+00,2.546563714022711945e+10
6.782768560096145372e+00,2.256945123551258850e+10
6.760196950911133484e+00,2.855304399497349167e+10
6.737700455234225672e+00,2.871356136934109497e+10
6.715278823103662198e+00,2.167649126567576981e+10
6.692931805389507716e+00,2.918805440563986969e+10
6.670659153790873042e+00,2.782625990662616348e+10
6.648460620833166246e+00,2.599365231957812119e+10
6.626335959865335745e+00,1.599600132414665794e+10
6.604284925057132050e+00,2.281147472095429230e+10
6.582307271396376613e+00,2.226851509578034210e+10
6.560402754686239568e+00,2.568001542135337830e+10
6.538571131542524562e+00,2.805632857626472092e+10
6.516812159390967807e+00,2.671048027978330994e+10
6.495125596464542461e+00,2.561860266710569382e+10
6.473511201800766557e+00,2.618417083336195374e+10
6.451968735239034025e+00,3.501314204906629944e+10
6.430497957417939503e+00,3.236386692087546539e+10
6.409098629772621791e+00,2.918278722050220871e+10
6.387770514532114419e+00,4.153406302594515228e+10
6.366513374716698870e+00,4.173795730942985535e+10
6.345326974135279130e+00,4.040039215727548981e+10
6.324211077382749124e+00,4.739723444908158112e+10
6.303165449837382361e+00,5.024578773081015778e+10
6.282189857658223353e+00,4.614042384955579376e+10
6.261284067782488805e+00,4.749338864733876801e+10
6.240447847922979463e+00,4.506862990515133667e+10
6.219680966565498181e+00,4.582440020250174713e+10
6.198983192966278644e+00,4.695625545873002625e+10
6.178354297149420304e+00,3.995211378113246918e+10
6.157794049904330436e+00,4.068502430373487854e+10
6.137302222783184824e+00,5.038062031892508698e+10
6.116878588098381364e+00,4.265944663412237549e+10
6.096522918920017631e+00,4.463942288951389313e+10
6.076234989073363124e+00,3.955722214330053711e+10
6.056014573136346613e+00,3.514860989585523987e+10
6.035861446437058575e+00,3.874268795511205292e+10
6.015775385051244761e+00,4.363078769089955902e+10
5.995756165799826398e+00,4.413962261446543884e+10
5.975803566246416842e+00,3.979584504133863068e+10
5.955917364694847116e+00,4.051765356625923920e+10
5.936097340186711868e+00,3.547689044402273560e+10
5.916343272498902905e+00,4.329423541147794342e+10
5.896654942141168476e+00,3.747208472829708862e+10
5.877032130353677886e+00,3.232992728613710785e+10
5.857474619104580782e+00,4.262147523492826080e+10
5.837982191087593975e+00,3.621023022457505798e+10
5.818554629719582039e+00,3.907074691382891846e+10
5.799191719138153012e+00,4.629388545860861206e+10
5.779893244199256763e+00,4.018782804725216675e+10
5.760658990474800234e+00,3.900095633403327179e+10
5.741488744250259124e+00,4.073913198727502441e+10
5.722382292522305569e+00,3.667505150807566833e+10
5.703339422996441144e+00,4.339405177190988922e+10
5.684359924084638749e+00,4.020116180523644257e+10
5.665443584902993379e+00,4.748972103334765625e+10
5.646590195269372003e+00,3.894343333267364502e+10
5.627799545701089201e+00,4.821966974383910370e+10
5.609071427412565924e+00,4.383010040793910217e+10
5.590405632313023787e+00,5.050178728755972290e+10
5.571801953004162478e+00,4.186164401839049530e+10
5.553260182777858489e+00,4.094073792027252197e+10
5.534780115613871843e+00,5.244034531290287781e+10
5.516361546177553699e+00,4.630871390734989929e+10
5.498004269817561074e+00,5.624328606952749634e+10
5.479708082563592875e+00,5.275213129730622864e+10
5.461472781124113496e+00,4.563083151945404053e+10
5.443298162884099511e+00,5.777713296320524597e+10
5.425184025902788143e+00,4.096334800927908325e+10
5.407130168911431056e+00,5.099248536169702911e+10
5.389136391311060592e+00,6.329175064087333679e+10
5.371202493170259551e+00,5.116977459612723541e+10
5.353328275222937194e+00,5.042063448843767548e+10
5.335513538866122119e+00,6.959131442699800110e+10
5.317758086157748920e+00,6.459536548951040649e+10
5.300061719814461725e+00,5.971486294159883118e+10
5.282424243209423054e+00,5.659684142231674194e+10
5.264845460370123575e+00,6.488681272222268677e+10
5.247325175976212286e+00,6.623906373397817993e+10
5.229863195357323136e+00,6.718423419211166382e+10
5.212459324490909651e+00,5.773223532817274475e+10
5.195113370000091990e+00,6.474068719647357178e+10
5.177825139151505773e+00,7.108943751707621765e+10
5.160594439853165127e+00,6.988158794891729736e+10
5.143421080652322175e+00,5.948180342660372925e+10
5.126304870733346064e+00,7.322362239799125671e+10
5.109245619915597558e+00,6.985008816287654114e+10
5.092243138651319612e+00,7.513098190470985413e+10
5.075297238023528834e+00,7.224109313078067017e+10
5.058407729743915837e+00,7.830807852627221680e+10
5.041574426150758015e+00,7.581468478667778015e+10
5.024797140206829660e+00,6.682896232928042603e+10
5.008075685497322738e+00,7.845711851582167053e+10
4.991409876227780984e+00,7.982407929968762207e+10
4.974799527222032225e+00,7.959365678420547485e+10
4.958244453920128691e+00,7.150905098064033508e+10
4.941744472376301545e+00,8.046978873002944946e+10
4.925299399256912736e+00,8.210057336558491516e+10
4.908909051838421078e+00,8.416646016540187073e+10
4.892573248005348319e+00,7.819093168915606689e+10
4.876291806248259419e+00,8.297736011661607361e+10
4.860064545661742841e+00,8.591289916916069031e+10
4.843891285942404146e+00,7.891598369443092346e+10
4.827771847386854276e+00,8.725503860768765259e+10
4.811706050889726249e+00,8.568414209020506287e+10
4.795693717941674095e+00,8.636025320645672607e+10
4.779734670627393101e+00,8.226610840020733643e+10
4.763828731623640955e+00,9.134025180314151001e+10
4.747975724197273095e+00,9.097212596119686890e+10
4.732175472203272726e+00,8.640088493554063416e+10
4.716427800082795940e+00,9.233319560893025208e+10
4.700732532861221280e+00,9.204376207263273621e+10
4.685089496146209065e+00,9.050025979707472229e+10
4.669498516125756282e+00,9.135684153352511597e+10
4.653959419566270128e+00,9.424638185768127441e+10
4.638472033810641548e+00,9.631417669664434814e+10
4.623036186776330325e+00,9.272341665536975098e+10
4.607651706953447501e+00,9.703703580615180969e+10
4.592318423402852900e+00,9.794792525896058655e+10
4.577036165754257979e+00,9.546066466608103943e+10
4.561804764204327789e+00,9.984518193715205383e+10
4.546624049514795374e+00,9.992799586589039612e+10
4.531493853010586825e+00,9.635401771051087952e+10
4.516414006577939233e+00,9.912775540165672302e+10
4.501384342662538174e+00,1.006349076837108002e+11
4.486404694267654314e+00,1.018827071207936859e+11
4.471474894952289780e+00,1.009226392016983032e+11
4.456594778829320092e+00,1.046016232096710968e+11
4.441764180563663622e+00,1.035889701401521454e+11
4.426982935370441297e+00,1.009347082745034943e+11
4.412250879013135396e+00,1.061807265213661957e+11
4.397567847801777674e+00,1.031840421085170135e+11
4.382933678591123261e+00,1.050538916081625366e+11
4.368348208778839670e+00,1.045479355058350220e+11
4.353811276303702904e+00,1.043082504640947266e+11
4.339322719643790904e+00,1.043680421220478058e+11
4.324882377814692980e+00,1.032504009247150574e+11
4.310490090367721905e+00,1.053705178817328491e+11
4.296145697388130458e+00,1.035970612218706207e+11
4.281849039493327069e+00,1.039462740393972473e+11
4.267599957831119895e+00,1.048591761242595367e+11
4.253398294077937791e+00,1.073516962913740234e+11
4.239243890437079720e+00,1.061426338319340820e+11
4.225136589636956153e+00,1.066155111142861938e+11
4.211076234929346462e+00,1.068230724148807373e+11
4.197062670087650993e+00,1.044481600615998993e+11
4.183095739405163549e+00,1.073005278188533020e+11
4.169175287693333232e+00,1.073504028395940247e+11
4.155301160280044037e+00,1.059678368041268616e+11
4.141473203007897119e+00,1.047210398142481995e+11
4.127691262232496605e+00,1.062176081887520447e+11
4.113955184820741628e+00,1.044445941731922302e+11
4.100264818149125468e+00,1.043963280120647430e+11
4.086620010102040013e+00,1.040135995286122589e+11
4.073020609070087339e+00,1.038202312204520264e+11
4.059466463948390391e+00,1.030603491946986847e+11
4.045957424134917879e+00,1.038937637702204437e+11
4.032493339528811838e+00,1.033512356159298401e+11
4.019074060528715187e+00,1.034758345607573395e+11
4.005699438031116166e+00,1.037160025783275757e+11
3.992369323428683003e+00,1.034552556486847687e+11
3.979083568608620780e+00,1.048719214704937439e+11
3.965842025951021643e+00,1.042348689574332581e+11
3.952644548327224339e+00,1.051609783731727142e+11
3.939490989098182183e+00,1.055914219518858643e+11
3.926381202112830593e+00,1.060435332181183929e+11
3.913315041706464825e+00,1.067376195250771484e+11
3.900292362699122162e+00,1.072397277930631714e+11
3.887313020393967200e+00,1.086312468023459778e+11
3.874376870575685139e+00,1.085474880496148376e+11
3.861483769508876840e+00,1.091849555162525787e+11
3.848633573936468100e+00,1.097750523350316467e+11
3.835826141078110929e+00,1.112106962166403198e+11
3.823061328628599043e+00,1.121482689335574036e+11
3.810338994756291342e+00,1.128827152866398621e+11
3.797658998101528294e+00,1.130167416306828918e+11
3.785021197775067847e+00,1.141270383974826508e+11
3.772425453356514691e+00,1.145147832204690857e+11
3.759871624892765940e+00,1.158144077365020905e+11
3.747359572896451052e+00,1.171003322040610504e+11
3.734889158344382398e+00,1.178341591388191071e+11
3.722460242676015607e+00,1.175496875448933258e+11
3.710072687791902801e+00,1.191877000388865967e+11
3.697726356052162267e+00,1.204656304091056671e+11
3.685421110274950784e+00,1.209791582467439575e+11
3.673156813734934190e+00,1.221363053559370575e+11
3.660933330161773025e+00,1.236994099987210541e+11
3.648750523738605978e+00,1.237238434130644379e+11
3.636608259100540419e+00,1.252924763897318726e+11
3.624506401333151384e+00,1.260559815594228516e+11
3.612444815970977885e+00,1.275511825633664398e+11
3.600423368996032547e+00,1.292272396386049194e+11
3.588441926836311691e+00,1.284650052375131073e+11
3.576500356364310740e+00,1.314351485392091217e+11
3.564598524895544518e+00,1.324274283593335114e+11
3.552736300187073759e+00,1.318838167288406982e+11
3.540913550436035617e+00,1.366052834240734711e+11
3.529130144278178172e+00,1.349630434841645966e+11
3.517385950786403814e+00,1.372923149647020111e+11
3.505680839469311305e+00,1.364519482482122498e+11
3.494014680269746265e+00,1.422983979849094849e+11
3.482387343563357884e+00,1.419773861020278931e+11
3.470798700157156969e+00,1.408613993110846558e+11
3.459248621288081971e+00,1.432530954895038452e+11
3.447736978621565473e+00,1.439079125421054688e+11
3.436263644250112659e+00,1.428606752624654236e+11
3.424828490691876226e+00,1.457753312180789185e+11
3.413431390889240635e+00,1.472163063751395569e+11
3.402072218207412568e+00,1.457945017166203308e+11
3.390750846433012278e+00,1.474358211015266724e+11
3.379467149772669377e+00,1.478846604415583496e+11
3.368221002851628842e+00,1.482325472482196960e+11
3.357012280712355246e+00,1.479244858741745911e+11
3.345840858813145857e+00,1.491316352984891357e+11
3.334706613026746425e+00,1.491510913093854370e+11
3.323609419638970497e+00,1.490531446088243103e+11
3.312549155347326746e+00,1.515041307944119263e+11
3.301525697259648506e+00,1.473258956919812012e+11
3.290538922892727758e+00,1.516105460877780457e+11
3.279588710170954879e+00,1.520843457537861023e+11
3.268674937424961957e+00,1.561230785821271973e+11
3.257797483390270088e+00,1.542263071153423767e+11
3.246956227205942902e+00,1.583017783946388550e+11
3.236151048413244080e+00,1.561544767652013550e+11
3.225381826954298869e+00,1.542191775597351990e+11
3.214648443170757375e+00,1.591741980494882507e+11
3.203950777802468508e+00,1.574035012149031067e+11
3.193288711986153494e+00,1.568340518496939697e+11
3.182662127254086926e+00,1.631590999445112610e+11
3.172070905532775154e+00,1.599094823757983704e+11
3.161514929141651109e+00,1.658195884533101501e+11
3.150994080791762020e+00,1.615399228337436218e+11
3.140508243584468229e+00,1.630744785941194458e+11
3.130057301010144233e+00,1.639787286012789001e+11
3.119641136946882387e+00,1.630312581642992249e+11
3.109259635659205490e+00,1.626667398970997620e+11
3.098912681796778923e+00,1.581513963931789551e+11
3.088600160393129013e+00,1.580570425636954346e+11
3.078321956864366715e+00,1.632347540249666443e+11
3.068077957007912637e+00,1.530444761901330261e+11
3.057868047001231382e+00,1.604088126944801025e+11
3.047692113400561453e+00,1.463978464242555847e+11
3.037550043139661149e+00,1.655713869601881714e+11
3.027441723528547346e+00,1.562780455277767639e+11
3.017367042252246279e+00,1.519871942132127991e+11
3.007325887369543427e+00,1.415695475364437256e+11
2.997318147311741399e+00,1.509547252056997681e+11
2.987343710881419589e+00,1.430718728756582947e+11
2.977402467251198726e+00,1.443782443772911987e+11
2.967494305962508960e+00,1.317749791502436676e+11
2.957619116924364189e+00,1.399081991296951904e+11
2.947776790412136361e+00,1.326311143014505310e+11
2.937967217066339121e+00,1.450162925028241272e+11
2.928190287891409671e+00,1.255482640530988312e+11
2.918445894254499962e+00,1.355070238832976685e+11
2.908733927884268322e+00,1.133451848434170074e+11
