wavelength_um, flux_erg/cm2/s/cm
9.984684664945664423e+00,1.246849865055067635e+10
9.951457760902583161e+00,1.258481132458613014e+10
9.918341428919545066e+00,1.243175746298176956e+10
9.885335301036285216e+00,1.199006617969766045e+10
9.852439010517029416e+00,1.282991879398980713e+10
9.819652191846424572e+00,1.273976324953738213e+10
9.786974480725472603e+00,1.335758725624674606e+10
9.754405514067482130e+00,1.337213551084000778e+10
9.721944929994046802e+00,1.350282911405324173e+10
9.689592367831005859e+00,1.361717805135169220e+10
9.657347468104447330e+00,1.364032417253185463e+10
9.625209872536711231e+00,1.374920148717234802e+10
9.593179224042414077e+00,1.393373292292646980e+10
9.561255166724468069e+00,1.425907397147303963e+10
9.529437345870142906e+00,1.444576521292164803e+10
9.497725407947113396e+00,1.441134462295135307e+10
9.466119000599535482e+00,1.455668965271899223e+10
9.434617772644131151e+00,1.433795707551332092e+10
9.403221374066280447e+00,1.469239512761632538e+10
9.371929456016141913e+00,1.504104573521690941e+10
9.340741670804776575e+00,1.550887645990863037e+10
9.309657671900266607e+00,1.549094512565863609e+10
9.278677113923894382e+00,1.572585836040224838e+10
9.247799652646277124e+00,1.593389735990491676e+10
9.217024944983560175e+00,1.627161134431365013e+10
9.186352648993601377e+00,1.657456814697279549e+10
9.155782423872159015e+00,1.630616212690131760e+10
9.125313929949122382e+00,1.693366761285019112e+10
9.094946828684733475e+00,1.685725678142031479e+10
9.064680782665815784e+00,1.711852080558226967e+10
9.034515455602036837e+00,1.671047037870487022e+10
9.004450512322161870e+00,1.772248411657281113e+10
8.974485618770339457e+00,1.746615346960730362e+10
8.944620442002385374e+00,1.783285539993930435e+10
8.914854650182078899e+00,1.824157441341778946e+10
8.885187912577478642e+00,1.890584442461611938e+10
8.855619899557254371e+00,1.888441964617442703e+10
8.826150282587015283e+00,1.880789102062672424e+10
8.796778734225661367e+00,1.827110730420774841e+10
8.767504928121747199e+00,1.916025006180554581e+10
8.738328539009863505e+00,1.945477702986720276e+10
8.709249242707002736e+00,1.965913139735627365e+10
8.680266716108974379e+00,1.944933316309807205e+10
8.651380637186814937e+00,2.042089126391169357e+10
8.622590684983197917e+00,2.071574252239647293e+10
8.593896539608877561e+00,2.091933096163634109e+10
8.565297882239132576e+00,2.071270808980898285e+10
8.536794395110215206e+00,2.126470962844484329e+10
8.508385761515841139e+00,1.923105734893669510e+10
8.480071665803642134e+00,2.125567503843680573e+10
8.451851793371682575e+00,2.078365120227342606e+10
8.423725830664954728e+00,2.146309195261294556e+10
8.395693465171893521e+00,2.333536991603247070e+10
8.367754385420905550e+00,2.044145948447340012e+10
8.339908280976908728e+00,2.024606365108995819e+10
8.312154842437884383e+00,2.233399435359102631e+10
8.284493761431434677e+00,2.329769290963750839e+10
8.256924730611363117e+00,2.132682602133862305e+10
8.229447443654253291e+00,2.356429226711483383e+10
8.202061595256070703e+00,2.020442684300347900e+10
8.174766881128764595e+00,2.140752918185014725e+10
8.147562997996887546e+00,2.160018083481338120e+10
8.120449643594234601e+00,2.277810068520232010e+10
8.093426516660478853e+00,2.486565118992521667e+10
8.066493316937812352e+00,2.289874500939043808e+10
8.039649745167636752e+00,2.040145833052597809e+10
8.012895503087213100e+00,2.309792412036689758e+10
7.986230293426357818e+00,2.612169333711213303e+10
7.959653819904140448e+00,2.212494021487921524e+10
7.933165787225590293e+00,2.454351444775384903e+10
7.906765901078417258e+00,2.080282172520032501e+10
7.880453868129736250e+00,1.892772594580850601e+10
7.854229396022815557e+00,2.292619876513537216e+10
7.828092193373821672e+00,2.755795112042339325e+10
7.802041969768583662e+00,2.329588805585306549e+10
7.776078435759370855e+00,2.371926878893714905e+10
7.750201302861670527e+00,1.840656113698037720e+10
7.724410283550982470e+00,2.337165985392786789e+10
7.698705091259631317e+00,2.556319324534084320e+10
